Country Code,Country,Airport ICAO Code,Airport Name,Airport Latitude,Airport Longitude,Operation Type,Flights,Fuel LTO Cycle (kg)  ,NOx LTO Total mass (g),PM2.5 LTO Emission (g),HC LTO Total mass (g),CO LTO Total Mass (g)
US,United States of America (the),KRYN,Ryan Field,32.1422004699707,-111.1750030517578,Commercial Passenger,109,10114,58040,6921,117641,599121
US,United States of America (the),KRYN,Ryan Field,32.1422004699707,-111.1750030517578,Commercial Freighter,1,866,6740,103,4512,16036
US,United States of America (the),KRYN,Ryan Field,32.1422004699707,-111.1750030517578,General Aviation,15327,130323,392805,14019,2788405,118123169
US,United States of America (the),KSAC,Sacramento Executive Airport,38.5125007629,-121.492996216,Commercial Passenger,910,62055,327432,61249,1024538,3729822
US,United States of America (the),KSAC,Sacramento Executive Airport,38.5125007629,-121.492996216,General Aviation,21550,204580,570216,30247,3991409,169436355
US,United States of America (the),KSMF,Sacramento International Airport,38.6954,-121.591003,Commercial Passenger,58480,41728351,531759187,2894967,37729070,431873045
US,United States of America (the),KSMF,Sacramento International Airport,38.6954,-121.591003,Commercial Freighter,2075,3042647,42620647,210154,4436759,27967712
US,United States of America (the),KSMF,Sacramento International Airport,38.6954,-121.591003,General Aviation,2162,255331,2121726,46845,440761,20074454
US,United States of America (the),KMHR,Sacramento Mather Airport,38.554744,-121.297989,Commercial Passenger,2738,159428,731432,149391,1707522,9014912
US,United States of America (the),KMHR,Sacramento Mather Airport,38.554744,-121.297989,Commercial Freighter,1482,2512836,36183870,133317,1581119,19793860
US,United States of America (the),KMHR,Sacramento Mather Airport,38.554744,-121.297989,General Aviation,9374,102790,352190,33405,1705225,66294484
US,United States of America (the),KHYX,Saginaw County H.W. Browne Airport,43.433399,-83.862297,Commercial Passenger,27,2825,13527,1643,14831,150899
US,United States of America (the),KHYX,Saginaw County H.W. Browne Airport,43.433399,-83.862297,General Aviation,3288,47445,96954,9334,592277,28167503
US,United States of America (the),KSTC,Saint Cloud Regional Airport,45.5466,-94.059898,Commercial Passenger,574,162261,2153146,36479,700085,3526705
US,United States of America (the),KSTC,Saint Cloud Regional Airport,45.5466,-94.059898,Commercial Freighter,1,154,1049,87,0,3452
US,United States of America (the),KSTC,Saint Cloud Regional Airport,45.5466,-94.059898,General Aviation,4818,74979,154791,26786,908933,40891740
US,United States of America (the),KSTP,Saint Paul Downtown Holman Field,44.93479,-93.060036,Commercial Passenger,2415,225352,1366190,180649,2185723,9849928
US,United States of America (the),KSTP,Saint Paul Downtown Holman Field,44.93479,-93.060036,General Aviation,11639,126377,382937,30803,2243124,89504526
US,United States of America (the),KSLE,Salem Municipal Airport/McNary Field,44.9095,-123.002998,Commercial Passenger,1017,100044,739056,62045,732906,3680429
US,United States of America (the),KSLE,Salem Municipal Airport/McNary Field,44.9095,-123.002998,Commercial Freighter,121,11650,19292,10569,10844,989911
US,United States of America (the),KSLE,Salem Municipal Airport/McNary Field,44.9095,-123.002998,General Aviation,9630,86507,264616,14819,1807835,74224589
US,United States of America (the),KANK,Salida Airport - Harriet Alexander Field,38.5383,-106.049004,Commercial Passenger,142,8197,33110,9565,107481,488157
US,United States of America (the),KANK,Salida Airport - Harriet Alexander Field,38.5383,-106.049004,Commercial Freighter,55,4757,4369,3756,3559,470584
US,United States of America (the),KANK,Salida Airport - Harriet Alexander Field,38.5383,-106.049004,General Aviation,562,7093,20625,2900,107558,4364374
US,United States of America (the),KSLN,Salina Municipal Airport,38.79100036621094,-97.6521987915039,Commercial Passenger,1203,287114,1918639,52374,1082485,8292912
US,United States of America (the),KSLN,Salina Municipal Airport,38.79100036621094,-97.6521987915039,Commercial Freighter,18,14079,116486,6723,451717,533629
US,United States of America (the),KSLN,Salina Municipal Airport,38.79100036621094,-97.6521987915039,General Aviation,4159,47608,176829,4390,789450,34523490
US,United States of America (the),KSNS,Salinas Municipal Airport,36.662799835205,-121.60600280762,Commercial Passenger,442,34273,176078,31859,563353,2053265
US,United States of America (the),KSNS,Salinas Municipal Airport,36.662799835205,-121.60600280762,General Aviation,5471,59899,154750,13278,1043888,45050083
US,United States of America (the),KSUZ,Saline County Regional Airport,34.590599,-92.479401,Commercial Passenger,156,10964,37388,10190,92313,695777
US,United States of America (the),KSUZ,Saline County Regional Airport,34.590599,-92.479401,General Aviation,3089,36060,109043,5741,669579,27669971
US,United States of America (the),KSBY,Salisbury Ocean City Wicomico Regional Airport,38.34049987792969,-75.51029968261719,Commercial Passenger,1979,494875,4077884,51641,1147094,10678857
US,United States of America (the),KSBY,Salisbury Ocean City Wicomico Regional Airport,38.34049987792969,-75.51029968261719,Commercial Freighter,1,154,1049,87,0,3452
US,United States of America (the),KSBY,Salisbury Ocean City Wicomico Regional Airport,38.34049987792969,-75.51029968261719,General Aviation,5115,57079,193746,10744,999766,38952644
