,Country,Airport Name,Airport Latitude,Airport Longitude,Flights,Fuel LTO Cycle (kg)  ,NOx LTO Total mass (g)
1271,France,Nice-Côte d'Azur Airport,43.658401,7.21587,55955,43096630,600027230
1275,China,Ningbo Lishe International Airport,29.82670021057129,121.46199798583984,48880,42349076,597467264
1279,Philippines (the),Ninoy Aquino International Airport,14.5086,121.019997,140882,146430052,2462114221
1283,Viet Nam,Noi Bai International Airport,21.221201,105.806999,93080,106257458,1712986270
1287,United States of America (the),Norfolk International Airport,36.895341,-76.201,30851,17455645,208908229
1291,United States of America (the),Norman Y. Mineta San Jose International Airport,37.362452,-121.929188,64387,42635914,542247709
1295,United States of America (the),North Las Vegas Metropolitan International Airport,36.210701,-115.194,45677,619847,1976818
1299,United States of America (the),North Perry Airport,26.0012,-80.2407,63455,574848,2169485
1303,United States of America (the),Northern Colorado Regional Airport,40.44969,-105.011272,26083,356689,1599267
1306,Russian Federation (the),Novosibirsk Tolmachevo Airport,55.019756,82.618675,23856,19184424,253829544
1310,South Africa,O.R. Tambo International Airport,-26.1392,28.246,62045,62387176,937366343
1314,United States of America (the),Oakland County International Airport,42.665500640869,-83.420097351074,26571,972591,6670522
1318,United States of America (the),Ocala International Airport - Jim Taylor Field,29.17259979,-82.22419739,24957,316278,1202060
1322,United States of America (the),Ogden Hinckley Airport,41.195899963379,-112.0120010376,21174,400885,1429966
1326,United States of America (the),Ontario International Airport,34.056,-117.600998,46004,46751562,638707377
1330,United States of America (the),Orlando Executive Airport,28.5455,-81.332901,40708,665056,3277595
1333,United States of America (the),Orlando International Airport,28.429399490356445,-81.30899810791016,205395,179179929,2557758489
1337,United States of America (the),Orlando Sanford International Airport,28.777599334716797,-81.23750305175781,55570,9452297,141415112
1341,Japan,Osaka International Airport,34.7855,135.438004,52014,45001777,616514001
1344,Norway,"Oslo Airport, Gardermoen",60.193901,11.1004,105686,75162520,927753074
1348,Canada,Ottawa Macdonald-Cartier International Airport,45.322498,-75.669197,28865,14340528,182107135
1352,United States of America (the),Page Field,26.58659935,-81.86329650879999,39976,487066,1796762
1355,United States of America (the),Palm Beach International Airport,26.683201,-80.095596,54246,27221706,377299896
